Global absolute abundance estimations for all proteins identified in dataset 2 (see supplemental Figure 4 for dataset details)																																																																							
						Protein copies/cell																						Protein Mass (fg) / Cell																						Coefficient of Variance (%) Between Biological Triplicates																					
P0A6F5	60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2	groL	55	3795.21	57274.67483	22739	65887	57319	19540	26422	23090	26358	22919	25954	23702	17811	16980	26509	25774	22879	65428	26821	26428	27239	15632	26639	24906	2.16E+00	6.27E+00	5.45E+00	1.86E+00	2.51E+00	2.20E+00	2.51E+00	2.18E+00	2.47E+00	2.25E+00	1.69E+00	1.61E+00	2.52E+00	2.45E+00	2.18E+00	6.22E+00	2.55E+00	2.51E+00	2.59E+00	1.49E+00	2.53E+00	2.37E+00	4.09	1.12	3.82	1.93	5.41	3.06	3.64	5.82	1.44	2.95	2.31	4.43	1.99	1.35	2.09	6.70	6.65	7.86	3.16	3.13	6.32	1.36
P00968	Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2	carB	55	3752.55	117749.3328	4445	411	675	1514	2501	2228	2852	1847	3000	1873	1409	1117	1212	1147	2249	3595	2908	2687	2547	1675	2607	3695	8.69E-01	8.04E-02	1.32E-01	2.96E-01	4.89E-01	4.36E-01	5.58E-01	3.61E-01	5.87E-01	3.66E-01	2.76E-01	2.18E-01	2.37E-01	2.24E-01	4.40E-01	7.03E-01	5.69E-01	5.25E-01	4.98E-01	3.27E-01	5.10E-01	7.23E-01	4.19	2.21	27.18	10.74	5.57	3.08	0.50	12.50	6.92	3.24	9.92	1.31	6.42	5.17	20.39	9.35	2.92	6.82	6.68	15.91	4.01	2.94
P09373	Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2	pflB	54	3972.86	85284.7241	4615	6984	6457	5645	5440	6178	5863	6557	6684	6004	5454	4877	3557	3629	4737	5699	8209	5999	7028	5774	6640	7624	6.54E-01	9.89E-01	9.14E-01	7.99E-01	7.70E-01	8.75E-01	8.30E-01	9.29E-01	9.47E-01	8.50E-01	7.72E-01	6.91E-01	5.04E-01	5.14E-01	6.71E-01	8.07E-01	1.16E+00	8.50E-01	9.95E-01	8.18E-01	9.40E-01	1.08E+00	11.03	2.71	13.02	14.64	7.44	4.78	6.20	14.16	9.31	4.56	8.59	3.28	4.70	11.53	17.16	10.03	8.30	2.45	10.74	10.76	11.16	2.20
P0A6Y8	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	53	4447.08	69054.47444	18605	59770	38606	14174	16849	17438	17699	13239	15492	13264	10501	9606	34072	33716	20710	44985	34137	18457	18097	11030	19666	18740	2.13E+00	6.85E+00	4.43E+00	1.63E+00	1.93E+00	2.00E+00	2.03E+00	1.52E+00	1.78E+00	1.52E+00	1.20E+00	1.10E+00	3.91E+00	3.87E+00	2.37E+00	5.16E+00	3.91E+00	2.12E+00	2.08E+00	1.26E+00	2.26E+00	2.15E+00	7.90	3.04	2.54	2.21	3.90	3.35	3.41	8.32	3.01	1.06	4.59	4.56	4.64	6.58	11.05	8.03	8.88	6.02	0.94	5.30	3.59	0.32
P05793	Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4	ilvC	52	2706.42	54016.26705	33338	3422	2074	15604	19954	20988	29065	14079	26857	17840	11583	6798	18865	17213	41665	34023	19774	29345	23853	13576	24774	35790	2.99E+00	3.07E-01	1.86E-01	1.40E+00	1.79E+00	1.88E+00	2.61E+00	1.26E+00	2.41E+00	1.60E+00	1.04E+00	6.10E-01	1.69E+00	1.54E+00	3.74E+00	3.05E+00	1.77E+00	2.63E+00	2.14E+00	1.22E+00	2.22E+00	3.21E+00	10.20	3.33	6.43	6.00	0.76	4.05	1.31	7.68	13.83	2.40	5.70	1.81	5.92	6.06	23.87	6.51	3.53	7.26	2.63	10.75	2.56	3.52
P0A705	Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1	infB	52	3380.67	79678.11829	3047	6788	4375	1912	2532	2677	2827	2659	3822	2910	2327	2029	1200	1411	2280	4009	2725	3062	2785	1832	2546	3534	4.03E-01	8.98E-01	5.79E-01	2.53E-01	3.35E-01	3.54E-01	3.74E-01	3.52E-01	5.06E-01	3.85E-01	3.08E-01	2.69E-01	1.59E-01	1.87E-01	3.02E-01	5.30E-01	3.60E-01	4.05E-01	3.68E-01	2.42E-01	3.37E-01	4.68E-01	18.73	4.67	13.64	12.07	2.27	1.89	4.76	19.58	8.03	4.29	8.60	3.12	9.04	11.09	16.58	11.63	4.13	1.52	9.70	15.60	11.80	6.83
P00864	Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1	ppc	50	3589.35	98982.23464	3633	1283	1488	1349	1452	3287	2185	1536	4288	2871	2129	1673	1316	1628	3019	3669	5644	3575	2647	1663	1479	5126	5.97E-01	2.11E-01	2.45E-01	2.22E-01	2.39E-01	5.40E-01	3.59E-01	2.52E-01	7.05E-01	4.72E-01	3.50E-01	2.75E-01	2.16E-01	2.68E-01	4.96E-01	6.03E-01	9.28E-01	5.88E-01	4.35E-01	2.73E-01	2.43E-01	8.43E-01	6.60	6.56	15.28	20.43	4.02	4.41	11.50	30.48	12.88	1.91	8.28	3.04	14.17	9.07	20.84	23.19	6.57	7.03	12.99	20.26	14.27	19.40
P0A6M8	Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2	fusA	49	4276.28	77514.47523	39027	86623	60762	21360	28956	31263	31225	28633	24574	19959	15430	12886	13324	12394	29539	35283	29860	34978	27365	20501	32672	38115	5.02E+00	1.11E+01	7.82E+00	2.75E+00	3.73E+00	4.02E+00	4.02E+00	3.69E+00	3.16E+00	2.57E+00	1.99E+00	1.66E+00	1.72E+00	1.60E+00	3.80E+00	4.54E+00	3.84E+00	4.50E+00	3.52E+00	2.64E+00	4.21E+00	4.91E+00	9.99	0.83	3.18	4.89	2.57	1.41	1.15	7.92	4.17	3.76	4.83	2.53	4.56	0.98	10.11	6.65	2.53	3.11	2.53	2.01	3.34	2.67
P00957	Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2	alaS	49	3631.87	95954.64438	1948	3256	2475	1133	1510	1666	1710	1846	1726	1440	1193	1038	1085	1144	1714	2974	2251	2389	1778	1265	1821	2613	3.10E-01	5.19E-01	3.94E-01	1.81E-01	2.41E-01	2.66E-01	2.72E-01	2.94E-01	2.75E-01	2.29E-01	1.90E-01	1.65E-01	1.73E-01	1.82E-01	2.73E-01	4.74E-01	3.59E-01	3.81E-01	2.83E-01	2.02E-01	2.90E-01	4.16E-01	6.35	2.42	9.86	8.32	2.94	9.89	2.23	8.86	9.84	4.94	6.80	2.61	3.85	3.35	14.37	17.74	5.88	2.61	7.17	13.97	2.53	6.96
P00961	Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4	glyS	47	3352.04	76746.96578	2914	6498	4134	1959	2514	2533	2683	2693	2680	2170	1696	1621	1269	1533	2680	3642	2722	3304	2793	1981	2448	3272	3.71E-01	8.28E-01	5.27E-01	2.50E-01	3.20E-01	3.23E-01	3.42E-01	3.43E-01	3.42E-01	2.77E-01	2.16E-01	2.07E-01	1.62E-01	1.95E-01	3.42E-01	4.64E-01	3.47E-01	4.21E-01	3.56E-01	2.52E-01	3.12E-01	4.17E-01	5.13	0.96	4.09	8.44	3.64	2.36	1.84	4.40	3.91	4.38	12.55	4.96	9.20	4.69	12.44	4.17	2.32	3.12	9.36	6.76	4.83	2.24
P76558	NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1	maeB	46	2485.6	82346.78295	469	2473	1691	1504	1340	1312	1134	1257	2829	3030	2860	2794	523	576	546	779	543	969	1595	986	1455	1245	6.41E-02	3.38E-01	2.31E-01	2.06E-01	1.83E-01	1.79E-01	1.55E-01	1.72E-01	3.87E-01	4.14E-01	3.91E-01	3.82E-01	7.16E-02	7.88E-02	7.47E-02	1.07E-01	7.42E-02	1.32E-01	2.18E-01	1.35E-01	1.99E-01	1.70E-01	31.13	5.63	17.86	9.51	5.57	8.51	8.19	32.45	12.72	3.01	7.86	1.00	14.82	9.26	23.69	24.39	5.72	9.00	14.45	17.13	11.31	6.21
P0AG67	30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1	rpsA	44	2834	61102.7043	23797	64900	33541	10729	16986	16209	20402	14453	18244	12112	9970	8662	8912	8261	15327	24274	17616	20320	17384	11286	17888	25304	2.41E+00	6.58E+00	3.40E+00	1.09E+00	1.72E+00	1.64E+00	2.07E+00	1.47E+00	1.85E+00	1.23E+00	1.01E+00	8.79E-01	9.04E-01	8.38E-01	1.56E+00	2.46E+00	1.79E+00	2.06E+00	1.76E+00	1.15E+00	1.81E+00	2.57E+00	13.24	1.28	5.54	1.98	1.60	0.78	3.47	0.74	2.83	4.02	0.98	3.49	1.62	6.89	18.22	6.98	5.94	12.26	4.68	2.39	3.33	4.57
P07813	Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2	leuS	43	2357.38	97153.28428	1846	2692	2379	1202	1491	1459	1505	1311	1622	1369	1191	1069	889	907	1339	2105	1784	1684	1371	1100	1472	1797	2.98E-01	4.34E-01	3.84E-01	1.94E-01	2.41E-01	2.35E-01	2.43E-01	2.12E-01	2.62E-01	2.21E-01	1.92E-01	1.72E-01	1.43E-01	1.46E-01	2.16E-01	3.40E-01	2.88E-01	2.72E-01	2.21E-01	1.77E-01	2.37E-01	2.90E-01	10.22	3.38	6.58	3.59	2.32	4.21	2.74	3.84	4.91	5.32	9.71	3.08	10.28	7.16	17.32	0.74	8.23	1.85	10.82	10.53	5.50	1.68
P00561	Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	thrA	42	3126.22	89045.79557	5703	2160	1769	2108	3423	5215	4679	10181	7938	3275	2045	1464	2571	2798	6417	4512	5283	9303	4388	2073	3815	9641	8.43E-01	3.19E-01	2.62E-01	3.12E-01	5.06E-01	7.71E-01	6.92E-01	1.51E+00	1.17E+00	4.84E-01	3.02E-01	2.17E-01	3.80E-01	4.14E-01	9.49E-01	6.67E-01	7.81E-01	1.38E+00	6.49E-01	3.07E-01	5.64E-01	1.43E+00	4.35	4.47	8.90	17.17	9.76	1.24	10.22	26.72	19.93	2.09	8.60	4.89	7.22	9.96	21.73	11.77	3.74	10.32	13.71	13.80	7.56	18.42
P0AFG3	2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1	sucA	42	2817.04	104977.5259	1706	6084	4467	4195	2635	3326	2752	4196	3640	2817	2323	2149	1246	1026	1781	1952	2400	3205	3022	1630	3418	3460	2.97E-01	1.06E+00	7.79E-01	7.31E-01	4.59E-01	5.80E-01	4.80E-01	7.31E-01	6.35E-01	4.91E-01	4.05E-01	3.75E-01	2.17E-01	1.79E-01	3.10E-01	3.40E-01	4.18E-01	5.59E-01	5.27E-01	2.84E-01	5.96E-01	6.03E-01	12.42	3.29	10.20	16.78	4.78	8.29	6.14	14.91	13.05	3.37	8.20	1.86	8.27	4.13	8.08	12.77	11.55	3.18	11.08	16.93	2.93	5.21
P00956	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	41	2164.51	104212.5396	2166	2886	2350	1348	1657	1621	1814	1921	1647	1363	1074	884	927	959	2086	2950	2024	2454	1625	1357	1569	2021	3.75E-01	4.99E-01	4.07E-01	2.33E-01	2.87E-01	2.81E-01	3.14E-01	3.32E-01	2.85E-01	2.36E-01	1.86E-01	1.53E-01	1.60E-01	1.66E-01	3.61E-01	5.10E-01	3.50E-01	4.25E-01	2.81E-01	2.35E-01	2.71E-01	3.50E-01	4.13	0.53	3.85	1.86	3.62	3.36	1.62	8.52	2.52	4.57	6.65	4.72	5.29	7.74	3.42	8.99	5.82	2.05	4.12	5.99	6.13	3.93
P25553	Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2	aldA	41	2623.32	52221.71682	3501	11229	10885	17217	28815	17164	16408	27353	19056	31012	35721	36655	1866	1868	1805	1689	1864	5994	30561	28622	27057	9487	3.04E-01	9.74E-01	9.44E-01	1.49E+00	2.50E+00	1.49E+00	1.42E+00	2.37E+00	1.65E+00	2.69E+00	3.10E+00	3.18E+00	1.62E-01	1.62E-01	1.56E-01	1.46E-01	1.62E-01	5.20E-01	2.65E+00	2.48E+00	2.35E+00	8.23E-01	31.14	3.77	7.79	1.80	6.57	8.84	1.48	2.89	5.29	2.88	7.56	1.41	6.34	10.97	12.60	5.75	1.41	16.82	4.26	6.40	15.85	5.09
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	aceF	40	2531.68	66036.77654	9057	22341	10155	3567	6404	5696	5649	21930	7066	6302	5144	5610	7996	8856	10764	9534	13100	13628	6814	4888	6891	11238	9.93E-01	2.45E+00	1.11E+00	3.91E-01	7.02E-01	6.25E-01	6.19E-01	2.40E+00	7.75E-01	6.91E-01	5.64E-01	6.15E-01	8.77E-01	9.71E-01	1.18E+00	1.05E+00	1.44E+00	1.49E+00	7.47E-01	5.36E-01	7.56E-01	1.23E+00	13.40	2.83	7.92	4.27	3.24	3.28	3.33	12.12	2.06	7.37	5.57	4.79	8.05	7.43	4.07	12.10	7.74	7.36	5.18	19.83	6.29	8.42
P23847	Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1	dppA	40	2246.78	60237.23952	4939	2476	15161	8170	13275	8661	9853	11652	10138	12011	10693	9324	4327	4713	7740	5160	6365	7698	10451	8002	11094	7462	4.94E-01	2.48E-01	1.52E+00	8.17E-01	1.33E+00	8.66E-01	9.86E-01	1.17E+00	1.01E+00	1.20E+00	1.07E+00	9.33E-01	4.33E-01	4.71E-01	7.74E-01	5.16E-01	6.37E-01	7.70E-01	1.05E+00	8.00E-01	1.11E+00	7.46E-01	63.77	5.91	5.93	6.44	0.85	7.44	2.48	3.93	7.03	2.38	0.59	4.15	1.16	2.77	1.95	11.11	1.92	0.67	5.30	4.72	3.69	4.88
P07395	Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2	pheT	40	2768.54	87305.38731	5023	7699	6066	2818	3989	4413	4670	4724	6350	5645	5764	5152	1716	1901	3251	4815	4214	4320	4744	3868	4230	5932	7.28E-01	1.12E+00	8.79E-01	4.08E-01	5.78E-01	6.40E-01	6.77E-01	6.85E-01	9.21E-01	8.18E-01	8.36E-01	7.47E-01	2.49E-01	2.76E-01	4.71E-01	6.98E-01	6.11E-01	6.26E-01	6.88E-01	5.61E-01	6.13E-01	8.60E-01	15.07	2.87	12.98	7.27	3.16	5.23	2.96	17.63	12.09	3.00	5.38	3.94	2.10	9.90	19.51	9.62	2.48	2.47	10.69	13.11	17.72	6.74
P21889	Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1	aspS	40	2303.66	65853.62132	2272	4356	2530	1505	1690	1748	1837	1605	2331	1930	1517	1483	1254	1252	2006	1914	2532	2747	2029	1397	1967	2590	2.48E-01	4.76E-01	2.77E-01	1.65E-01	1.85E-01	1.91E-01	2.01E-01	1.76E-01	2.55E-01	2.11E-01	1.66E-01	1.62E-01	1.37E-01	1.37E-01	2.19E-01	2.09E-01	2.77E-01	3.00E-01	2.22E-01	1.53E-01	2.15E-01	2.83E-01	7.49	3.30	9.62	7.11	5.34	2.03	4.62	7.29	4.30	5.76	5.47	1.74	5.03	12.05	19.12	20.20	4.11	2.82	2.91	7.65	3.17	5.16
P07118	Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2	valS	40	2513.25	108105.6884	1719	3107	2137	828	1025	1040	1114	1044	1298	970	749	650	508	502	962	1911	1132	1387	1188	756	1052	1407	3.09E-01	5.58E-01	3.84E-01	1.49E-01	1.84E-01	1.87E-01	2.00E-01	1.87E-01	2.33E-01	1.74E-01	1.35E-01	1.17E-01	9.12E-02	9.01E-02	1.73E-01	3.43E-01	2.03E-01	2.49E-01	2.13E-01	1.36E-01	1.89E-01	2.52E-01	8.92	1.43	9.66	7.40	2.68	5.92	2.71	3.40	4.97	1.22	5.14	1.18	9.79	16.39	17.87	16.19	1.47	3.85	4.99	0.61	3.51	8.19
P10408	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	secA	40	2576.06	101940.9335	706	1794	1114	451	665	737	622	790	935	836	757	750	326	342	442	666	552	660	709	442	617	771	1.20E-01	3.04E-01	1.89E-01	7.63E-02	1.13E-01	1.25E-01	1.05E-01	1.34E-01	1.58E-01	1.41E-01	1.28E-01	1.27E-01	5.52E-02	5.79E-02	7.48E-02	1.13E-01	9.35E-02	1.12E-01	1.20E-01	7.48E-02	1.05E-01	1.30E-01	19.08	2.94	16.88	11.51	5.80	8.24	5.46	20.06	8.83	5.10	12.38	2.36	13.35	17.23	31.22	7.56	4.55	7.60	14.94	18.65	8.35	12.23
P08200	Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	icd	38	2595.05	45709.46787	33670	19445	34427	30054	29587	31728	24591	35445	30532	27433	22201	15274	13663	14036	37449	29759	28245	32222	33652	21773	28121	23699	2.56E+00	1.48E+00	2.61E+00	2.28E+00	2.25E+00	2.41E+00	1.87E+00	2.69E+00	2.32E+00	2.08E+00	1.69E+00	1.16E+00	1.04E+00	1.07E+00	2.84E+00	2.26E+00	2.14E+00	2.45E+00	2.55E+00	1.65E+00	2.13E+00	1.80E+00	10.24	3.83	0.81	0.73	4.87	10.28	1.71	3.57	1.06	4.26	2.69	1.34	10.36	10.31	9.60	15.91	1.07	5.03	4.77	3.26	8.26	5.54
P0ABB4	ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2	atpD	38	2757.77	50275.81931	24156	42417	48805	16016	23707	25159	26449	30533	24035	19994	14634	10875	7040	6955	13916	16817	13132	23770	24279	14507	25885	24016	2.02E+00	3.54E+00	4.07E+00	1.34E+00	1.98E+00	2.10E+00	2.21E+00	2.55E+00	2.01E+00	1.67E+00	1.22E+00	9.08E-01	5.88E-01	5.81E-01	1.16E+00	1.40E+00	1.10E+00	1.98E+00	2.03E+00	1.21E+00	2.16E+00	2.00E+00	4.61	1.07	2.97	1.74	4.57	1.70	0.64	1.22	1.21	3.50	2.69	2.36	3.13	2.16	18.28	5.14	2.56	7.67	3.39	4.00	3.48	2.94
