Gene	ExpAgeP-value	ExpAgeDirection	MethAgeP-value	MethAgeDirection	ExpMethP-value	ExpMethDirection	TopMediator	Z-score	MedP-value	NoCpGsTested	NoBonferroniSig
GRAP	1,9E-34	-------	1,4E-43	-------	1,7E-28	+++++-+	cg01627492	-8,7	2,7E-18	62	9
NUCB2	3,2E-09	-------	1,3E-08	-------	1,8E-05	+-++++-	cg24260135	-3,4	3,1E-04	119	1
FBL	4,4E-19	-------	6,0E-31	-------	5,5E-09	-+++++-	cg22031522	-5,2	9,6E-08	92	2
PRR5L	2,8E-08	+++++++	6,0E-34	-------	2,6E-88	-------	cg04844207	10,4	1,7E-25	88	24
SATB1	4,6E-13	-------	1,7E-39	+++++-+	3,2E-39	+------	cg26768584	-9,3	8,3E-21	36	9
IL7R	2,8E-09	----+--	1,3E-16	+++++--	8,3E-35	-------	cg23336905	-6,9	3,4E-12	41	4
ZSCAN18	5,6E-24	-------	4,8E-76	+++++++	5,0E-38	-------	cg10132208	-10,6	2,1E-26	208	65
ADRB2	1,2E-09	+++++++	4,3E-92	-------	1,6E-48	-------	cg12960696	11,9	7,2E-33	34	15
KLRB1	4,5E-08	------+	1,9E-16	-++++++	1,1E-41	+------	cg09668716	-7,0	1,0E-12	31	3
HSP90AB1	5,1E-18	-----+-	2,1E-21	-------	1,5E-51	-++++++	cg14431165	-8,0	4,5E-16	180	14
VPREB3	5,3E-26	-----++	1,2E-15	+++++-+	0,0E+00	-------	cg03382805	-7,8	2,3E-15	106	12
TCF7	1,9E-10	+------	7,2E-46	+++++++	8,3E-96	-------	cg02387618	-11,7	4,4E-32	106	14
OSBPL5	4,9E-16	+++++++	1,2E-77	-------	9,3E-37	-------	cg18458509	10,5	5,5E-26	340	56
IGJ	5,2E-14	-------	1,3E-10	--++---	3,5E-01	++++---	cg13523386	-0,9	1,8E-01	55	0
C1orf21	9,9E-09	+++++?+	5,2E-25	+++++?+	1,4E-55	+++++?+	cg27177158	8,6	3,1E-18	69	7
BCL11B	4,9E-18	---?---	9,5E-34	+++?+++	7,1E-183	---?---	cg23479730	-11,2	3,1E-29	121	17
NMT2	7,1E-16	-------	6,3E-26	+++++++	1,2E-13	+------	cg00555393	-6,1	6,6E-10	103	3
TNFRSF25	6,3E-25	+----?-	9,3E-54	-----?-	1,5E-82	+++++?+	cg01429933	-12,0	1,1E-33	322	35
PTPRK	5,8E-05	-----+-	2,6E-12	+++++++	2,8E-08	-------	cg20267828	-4,4	6,8E-06	39	2
BTBD11	2,0E-10	-------	5,9E-26	-------	8,3E-26	+++++++	cg00174508	-7,4	5,1E-14	115	14
EDAR	1,4E-18	-------	5,5E-19	--+----	3,8E-17	+++++++	cg27294813	-6,1	4,8E-10	71	13
ELOVL4	4,1E-09	+------	5,5E-09	+++++--	2,1E-02	---+---	cg24859546	-2,2	1,6E-02	50	0
LGALS1	3,2E-20	+++++++	2,5E-59	-------	4,8E-54	-------	cg21737444	11,2	1,9E-29	186	21
KLHL3	3,5E-21	-------	1,1E-27	+++++++	2,3E-16	----+--	cg13847070	-6,6	2,8E-11	62	15
CD8B	1,7E-06	-------	3,6E-22	-++++++	8,3E-92	-------	cg08777095	-8,7	1,2E-18	63	9
NBEA	6,6E-03	----+--	4,9E-24	++++++-	9,5E-05	-------	cg07310259	-3,6	1,4E-04	73	2
NUAK1	3,6E-12	+++++++	2,5E-45	+++++++	4,0E-49	++++-++	cg02518216	10,2	1,0E-24	84	12
GTSCR1	1,0E-16	+++++++	7,4E-01	++---++	5,0E-01	+--++--	cg00737904	0,3	3,8E-01	4	0
PDGFD	1,7E-04	+++++--	6,9E-23	-------	7,1E-34	-------	cg04420335	7,7	1,0E-14	33	4
ANXA1	5,6E-11	+++++++	3,5E-84	-------	1,8E-06	-------	cg13591783	4,6	1,8E-06	5	1
APOBEC3H	2,9E-11	+++++++	1,5E-42	+++++++	2,1E-147	+++++++	cg19713460	12,1	6,3E-34	119	29
ATM	6,7E-21	-------	2,6E-25	+++++++	4,5E-13	-------	cg03092399	-5,9	1,4E-09	116	3
ID3	9,5E-23	-----?-	9,1E-37	+++++?+	3,0E-129	-----?-	cg13977835	-11,2	1,6E-29	199	35
PCED1B	3,8E-21	-------	4,8E-23	-------	1,4E-90	+++++++	cg01023672	-8,9	3,4E-19	50	5
COBLL1	2,8E-18	-------	2,7E-20	+------	4,8E-08	++++++-	cg10508783	-4,7	1,3E-06	28	5
MZB1	2,4E-22	---?---	8,3E-15	-++?+++	1,1E-05	---?---	cg11623339	-3,8	6,6E-05	174	4
GPR18	2,2E-23	------+	1,0E-48	+++++++	1,8E-27	+--+---	cg06071604	-8,7	1,3E-18	84	13
CEP41	1,9E-34	-------	1,7E-13	-------	2,8E-19	+++++++	cg06917763	-5,7	6,2E-09	141	4
ETS1	3,1E-22	-------	4,5E-49	+++++++	1,9E-87	-------	cg07101781	-11,8	1,5E-32	129	26
FAM117B	1,2E-20	-------	4,0E-08	++----+	4,6E-08	+++++++	cg21467850	-3,9	5,3E-05	50	1
EPHX2	2,3E-13	+------	1,7E-33	-------	3,3E-84	+++++++	cg05755408	-10,3	6,0E-25	118	17
CAMK4	1,7E-09	-------	5,9E-22	+++++++	1,1E-11	-------	cg11895835	-5,6	1,5E-08	61	3
MCOLN2	1,8E-11	++-++?+	3,8E-48	+++++?-	5,6E-58	+++++?+	cg12037450	10,8	1,9E-27	90	14
CCR6	2,9E-12	+--?-++	1,2E-06	-++?+++	1,1E-29	+--?---	cg26954951	-4,5	4,0E-06	109	4
TXK	7,9E-11	-------	2,7E-30	-++++++	5,4E-94	-------	cg20981615	-10,0	7,9E-24	58	12
LEPROTL1	4,5E-19	-------	1,5E-46	-------	2,1E-34	+++++++	cg10721220	-9,3	6,9E-21	85	7
KYNU	1,3E-11	+++++++	3,0E-26	-------	5,8E-35	-------	cg12192282	8,0	4,5E-16	13	2
F2R	7,4E-12	+++++++	1,0E-33	++-++++	1,9E-56	+++++++	cg04306063	9,6	3,5E-22	73	14
PRF1	5,6E-09	+++++++	5,9E-55	-------	3,3E-34	-+-----	cg05240350	9,6	3,6E-22	130	22
DKC1	8,7E-17	-?-----	3,2E-21	-?-----	3,2E-42	-?+++++	cg26279840	-7,8	4,1E-15	111	9
CACNA2D2	9,8E-05	+++++++	1,0E-72	-------	9,3E-64	-------	cg00390253	12,3	3,7E-35	381	75
SPRY1	3,8E-10	-----+-	9,8E-09	-----+-	4,4E-08	++++++-	cg26306329	-4,0	3,7E-05	55	4
ATP2B4	3,6E-11	+++++++	5,4E-40	-------	1,9E-56	-------	cg00762397	10,2	1,6E-24	93	11
FOXO1	4,0E-20	-------	2,8E-23	+++++++	6,6E-49	-------	cg18368845	-8,2	9,0E-17	76	8
MMP28	3,7E-20	-------	1,9E-65	-------	8,9E-21	+++++++	cg19408882	-8,2	1,2E-16	152	26
LGMN	2,4E-11	+------	2,5E-30	+------	2,6E-18	++++++-	cg05200313	-6,9	1,9E-12	96	6
CD84	4,7E-11	++++++-	4,3E-48	--+----	4,7E-25	----+--	cg21454485	8,4	1,7E-17	107	17
DENND2D	1,3E-17	-----?-	3,5E-46	+++++?+	3,8E-52	+----?-	cg02590572	-10,4	1,2E-25	115	9
CLUAP1	1,1E-09	-------	1,6E-25	--+----	2,0E-20	+++++++	cg03919650	-6,9	2,1E-12	207	8
OCIAD2	7,4E-25	-------	3,2E-13	+++++++	1,1E-09	++-----	cg17885481	-4,7	1,5E-06	63	1
GZMA	9,7E-08	++-++++	6,6E-97	++-++++	6,6E-61	+++++++	cg15335436	12,9	1,5E-38	105	29
CD79A	2,0E-19	---?-++	2,3E-31	---?---	1,2E-60	+++?+++	cg21126943	-9,5	1,0E-21	177	18
PDGFRB	7,9E-10	++++-++	1,5E-26	+++++++	4,1E-09	+++++++	cg15101980	5,2	1,3E-07	140	13
RCAN3	1,2E-08	-----?-	2,1E-21	+++++?+	4,0E-30	+----?-	cg01768001	-7,3	1,5E-13	119	16
TSPAN13	1,4E-17	-----+-	2,6E-32	+++++++	1,1E-09	+------	cg03976645	-5,4	3,0E-08	77	2
HOOK1	1,7E-05	-----?-	4,4E-24	+----?-	2,0E-10	+++++?-	cg10220544	-5,4	3,6E-08	37	3
KIAA1147	9,5E-24	----?--	1,6E-06	+---?--	2,0E-53	++++?++	cg18463686	-4,6	2,3E-06	75	1
THNSL1	2,3E-09	-------	1,9E-61	-------	3,5E-04	-++-+++	cg23418510	-3,5	2,3E-04	53	1
ATIC	4,9E-13	------+	1,7E-18	+++++++	1,5E-08	-------	cg07533729	-4,8	9,9E-07	44	2
NAA16	7,7E-08	--+---+	1,7E-24	+++++-+	7,2E-23	-------	cg23357533	-7,1	6,7E-13	72	6
IGFBP3	5,3E-11	++-++++	2,8E-16	-------	1,9E-16	-------	cg21564128	5,8	3,3E-09	64	10
SUSD1	5,3E-12	+++++++	4,2E-16	--+----	5,0E-23	-------	cg14195117	6,3	1,7E-10	35	4
CD28	7,0E-09	+----+-	1,8E-22	+++++++	8,3E-71	-------	cg13651908	-8,6	6,1E-18	35	3
RORC	9,4E-12	-----?-	7,6E-54	+++++?+	3,2E-13	-----?-	cg03984502	-6,6	2,2E-11	154	2
RAD54B	5,4E-06	-------	6,2E-05	++++++-	9,3E-03	+------	cg04496177	-2,2	1,5E-02	70	0
MAN1C1	5,3E-10	-------	9,3E-20	+++++++	3,5E-30	-------	cg19595760	-7,1	5,6E-13	194	21
STRBP	3,7E-08	-----+-	2,1E-06	+----+-	5,2E-09	-++-+++	cg04784315	-3,7	1,2E-04	67	1
TARBP1	9,6E-07	-----?-	1,3E-12	+----?-	1,1E-13	+++++?+	cg04605532	-5,1	1,4E-07	103	5
BANK1	1,6E-15	-----+-	4,1E-23	+++++++	2,0E-04	+------	cg09755397	-3,5	2,5E-04	45	2
KLF6	1,1E-15	+++++++	8,7E-80	-------	2,9E-26	-------	cg23680451	9,3	1,1E-20	91	9
KLRD1	1,4E-05	+++++-+	5,2E-21	--+----	2,5E-80	-------	cg15368872	8,4	1,8E-17	63	13
TRA@	3,6E-08	---??--	2,7E-10	+++??-+	1,3E-16	---??--	cg06771839	-5,0	2,6E-07	190	4
FAM159A	1,1E-17	-----?-	1,3E-07	-----?-	3,0E-29	+++++?+	cg14039246	-4,8	8,8E-07	82	6
NPM3	3,2E-22	-------	7,1E-15	+++++++	1,3E-16	------+	cg02505177	-5,7	7,1E-09	116	5
ZEB2	9,3E-05	+-+++++	1,5E-44	-------	5,4E-21	-------	cg12571570	7,8	3,0E-15	87	7
VAMP5	7,5E-19	-++++++	2,5E-12	+------	1,8E-57	-------	cg02652597	6,4	7,0E-11	176	3
ZNF154	3,8E-13	-------	4,4E-104	+++++++	2,1E-33	-------	cg11294513	-10,5	3,3E-26	216	24
DGKA	3,6E-11	+------	2,0E-35	-------	6,2E-86	+++++++	cg11848173	-10,5	4,4E-26	304	30
KAT2A	3,1E-22	-------	7,2E-31	-----+-	1,9E-52	+++++++	cg02779913	-9,2	1,7E-20	239	27
POU2AF1	2,0E-14	-------	7,6E-30	+++++++	7,9E-29	+-----+	cg14592365	-8,0	9,3E-16	106	5
EPHA1	2,4E-10	-------	9,1E-63	-------	1,8E-88	+++++++	cg03489712	-12,8	6,9E-38	109	19
TPM2	2,6E-11	-------	1,9E-49	+------	2,2E-13	+++++++	cg00833393	-6,6	2,5E-11	106	7
C1QBP	2,9E-23	-------	5,0E-05	+----+-	4,5E-32	+++++++	cg19060895	-3,8	6,3E-05	96	3
LTBP3	6,9E-10	+------	1,7E-114	-------	2,0E-42	+++++++	cg13119578	-11,7	6,1E-32	382	26
PLCG1	4,3E-15	-------	7,8E-10	-++++-+	2,8E-39	++-----	cg12485727	-5,6	1,3E-08	69	3
IGFBP7	8,7E-10	+++++++	2,2E-30	-------	1,0E-12	-------	cg15696506	6,1	7,3E-10	76	1
ITGA6	2,4E-06	-----+-	5,5E-12	--++---	3,8E-07	+++++++	cg16793781	-4,1	2,2E-05	63	1
F5	6,6E-11	+++++?+	3,7E-72	-----?-	9,8E-15	+----?-	cg01459453	7,1	5,8E-13	63	3
B3GAT1	2,3E-08	+++++-+	8,5E-42	++-++++	2,6E-53	+++++++	cg06149302	10,2	1,5E-24	164	16
TMEM204	1,8E-09	+--?---	1,7E-29	---?---	1,2E-72	+++?+++	cg26728422	-9,6	5,9E-22	599	27
CD96	6,1E-11	+------	1,5E-83	-------	1,8E-09	+++++++	cg25711003	-5,8	4,6E-09	70	3
VCAN	2,2E-14	-++++++	8,9E-20	+------	1,3E-20	-------	cg06885823	6,5	3,9E-11	50	2
RRS1	2,3E-11	-------	3,7E-60	-------	1,0E-09	-++++++	cg13064571	-5,7	5,2E-09	98	4
NA	1,6E-04	????-??	4,5E-19	????-??	4,6E-07	????+??	NA	-4,4	5,6E-06	168	1
SESN1	3,4E-08	-------	4,7E-26	-----+-	1,0E-41	+++++++	cg23279756	-8,3	4,3E-17	67	4
CRIP1	1,2E-10	+++++++	1,3E-41	+++++++	5,1E-32	+++++++	cg26402555	8,9	3,4E-19	318	29
TBC1D4	6,2E-15	-------	9,8E-46	-------	9,1E-39	+++++++	cg24425149	-9,6	4,2E-22	76	4
ANXA2R	2,6E-19	-------	1,5E-56	-------	3,0E-44	+++++++	cg07749597	-10,5	5,8E-26	111	4
HAVCR2	3,0E-08	+++++++	2,0E-14	+++++++	1,0E-20	+++++++	cg10578938	5,9	1,6E-09	68	3
CD7	1,7E-21	-------	1,7E-37	-------	3,2E-57	+++++++	cg19284277	-10,0	9,4E-24	404	45
STMN1	5,4E-14	-------	4,2E-37	-------	7,8E-08	+++++++	cg00923634	-5,0	3,7E-07	170	7
GNLY	2,7E-05	-++++++	1,7E-40	-------	1,6E-45	-------	cg21512179	9,7	1,4E-22	166	25
APEX1	4,1E-16	-------	3,2E-21	-------	1,6E-66	+++++++	cg01620379	-8,3	5,7E-17	147	6
ICOS	2,7E-13	-------	1,7E-22	+++++++	2,8E-86	-------	cg13651908	-8,7	1,1E-18	22	2
GK5	3,5E-05	-++++--	1,4E-24	+++++++	7,9E-09	-++++++	cg02748419	5,0	2,5E-07	36	2
SAE1	5,1E-17	-------	7,9E-72	-------	5,0E-52	+++++++	cg15361750	-11,6	2,5E-31	181	10
FLT3LG	2,1E-07	+----+-	3,6E-26	+++++++	8,9E-104	-------	cg05262463	-9,5	1,0E-21	288	19
ERBB2	3,8E-06	+++++-+	3,9E-12	++-+++-	5,9E-18	+++++++	cg08500763	5,4	3,1E-08	250	13
PYHIN1	1,7E-06	++-++?+	6,2E-34	-----?-	1,4E-74	-----?-	cg19939130	10,1	2,4E-24	56	23
NME8	9,5E-08	-++++-+	4,9E-29	-------	1,8E-16	-+-----	cg15141868	6,6	1,7E-11	43	6
FAM13A	1,3E-06	+++++++	2,6E-08	+------	2,6E-03	++-----	cg07958192	2,6	4,1E-03	94	0
PMEPA1	1,3E-12	------+	4,6E-22	-------	4,9E-09	+++-+++	cg00138126	-5,0	2,8E-07	71	3
RAPGEF6	2,9E-11	-------	2,5E-25	+++++++	1,1E-06	----+--	cg11958644	-4,4	5,1E-06	65	5
ZNHIT6	1,8E-18	-----?-	5,4E-08	+----?-	1,5E-06	-++++?+	cg20960181	-3,6	1,6E-04	70	1
PASK	2,3E-18	-------	3,2E-18	-++++++	8,5E-146	-------	cg19397991	-8,2	8,3E-17	241	19
AGPAT4	3,8E-07	+++++++	1,0E-24	-------	7,4E-14	-------	cg11342331	6,0	7,5E-10	76	6
STOM	7,2E-20	-++++++	3,5E-30	--+----	6,0E-18	-------	cg13885535	6,9	2,9E-12	56	12
TRIB2	1,7E-16	-------	2,6E-24	-------	2,9E-11	+-+++++	cg05360477	-5,6	1,3E-08	49	5
AHNAK	1,3E-06	+++?+++	3,0E-44	--+?---	4,7E-14	---?---	cg14171514	6,6	1,6E-11	360	7
DDX47	2,7E-19	-------	2,5E-18	-------	1,0E-13	+++++++	cg20546777	-5,7	7,5E-09	120	6
CDCA7L	1,1E-05	---+---	2,2E-12	+------	9,3E-10	+++++++	cg07475000	-4,6	2,0E-06	38	2
S100A10	9,9E-06	+++++?+	1,9E-49	-----?-	1,4E-15	-----?-	cg08529744	7,0	1,1E-12	150	11
GNG7	1,4E-14	-------	5,8E-19	--+----	1,3E-28	+++++++	cg01823541	-6,9	1,9E-12	391	14
GEMIN4	2,3E-22	-------	4,4E-27	+++++++	1,3E-12	-------	cg11070818	-5,9	1,6E-09	222	2
TRAF5	1,1E-18	-----?-	5,8E-25	-----?-	4,3E-18	+++++?+	cg00658007	-6,6	1,6E-11	95	6
CD3E	5,8E-07	+------	6,2E-22	-------	4,6E-41	-++++++	cg05008975	-7,8	2,6E-15	163	24
CLDND2	4,5E-06	+++++-+	8,7E-63	-------	1,8E-47	-------	cg24724596	10,9	3,5E-28	125	32
CXCR5	3,4E-16	+----++	6,8E-31	+++++-+	5,5E-68	-------	cg04625873	-9,6	2,9E-22	205	16
FBLN2	7,8E-23	-------	1,4E-26	+-+++++	6,0E-06	-------	cg25120326	-4,2	1,6E-05	140	3
PAPSS2	8,2E-09	+++?+++	1,9E-09	---?-+-	2,6E-08	---?---	cg02307823	4,1	2,2E-05	111	1
RNF144A	3,1E-13	-------	1,3E-20	-------	1,1E-27	+++++++	cg21486510	-7,1	7,3E-13	65	9
KLF11	2,4E-07	+++++++	4,4E-23	-------	1,4E-08	-------	cg10881225	4,9	4,4E-07	114	1
GPR141	6,1E-10	-++++++	5,1E-70	-------	8,5E-15	-------	cg17213713	7,1	6,0E-13	69	8
CD22	2,0E-13	-----+-	1,2E-23	+----+-	1,4E-19	+++++++	cg17540545	-6,7	9,2E-12	211	13
ZBP1	9,8E-14	+++++++	1,0E-11	+++++++	2,3E-03	--++++-	cg09696044	2,8	2,8E-03	88	0
CHN1	5,1E-07	++++?++	3,9E-08	----?--	4,6E-05	----?--	cg27305009	3,3	5,3E-04	105	0
SLFN11	9,3E-06	++-++++	2,0E-34	+++++++	2,6E-23	+++++++	cg11112161	7,7	5,9E-15	147	12
CD244	2,9E-04	-++++--	2,2E-28	-------	4,5E-33	-------	cg19718360	8,1	2,3E-16	124	15
ILK	9,3E-12	+++++++	3,2E-43	+++++++	2,2E-04	-++++++	cg27216937	3,6	1,8E-04	152	1
CST7	4,0E-11	+++++-+	5,2E-28	+++++++	4,7E-86	+++++++	cg03321508	9,6	4,8E-22	81	25
AK5	3,6E-08	-----?-	1,7E-26	+++++?+	1,6E-06	----+?-	cg11595082	-4,4	6,1E-06	73	6
PTGDS	4,9E-10	+++++++	1,2E-50	+++++++	1,6E-12	-+++++-	cg11453712	6,4	8,4E-11	361	4
EIF2S3	5,8E-06	+?-----	2,5E-03	+?---+-	7,8E-04	-?+-++-	cg26965695	-2,3	1,2E-02	49	0
HSPD1	8,6E-24	-------	4,7E-31	-------	1,3E-25	+++++++	cg17016369	-7,8	4,0E-15	97	4
DNAJA3	9,3E-19	-------	4,3E-59	+++++++	1,5E-52	-------	cg07212747	-11,1	5,7E-29	253	29
TXNDC5	1,2E-08	-------	3,5E-09	---+--+	4,0E-02	+++-++-	cg13498289	-1,9	2,6E-02	71	0
KLRF1	6,1E-06	-+++++-	6,6E-13	--++---	6,6E-04	-+-----	cg27190239	3,1	1,0E-03	52	0
PDK4	5,3E-06	+++++++	5,5E-17	-+-----	3,6E-08	+-----+	cg22171829	4,6	2,1E-06	74	1
NMUR1	9,5E-06	+++++-+	4,3E-45	-------	5,4E-36	-------	cg00143376	9,4	3,9E-21	148	28
BCAS4	8,5E-14	-------	1,1E-26	+++++++	3,1E-35	-------	cg03199996	-8,1	2,9E-16	93	6
IARS	1,8E-11	-------	1,9E-03	-+-----	1,8E-10	-++++++	cg24105685	-2,8	2,7E-03	32	0
C6orf48	6,0E-12	-------	7,2E-155	-------	3,3E-39	+++++++	cg20543183	-11,7	3,8E-32	1576	154
RSL1D1	2,4E-09	-------	4,1E-32	-------	1,0E-61	+++++++	cg09481483	-9,6	3,6E-22	107	17
VEGFB	4,0E-14	-------	8,7E-34	-------	7,1E-78	+++++++	cg10675058	-10,2	1,4E-24	378	21
PTGDR	5,5E-04	+++?+++	3,2E-18	---?---	6,2E-10	---?---	cg26168772	5,0	2,3E-07	49	7
IMP3	1,6E-10	-----++	1,0E-31	-------	2,0E-18	-++++++	cg01363662	-7,0	1,2E-12	121	7
4,2E+04	6,6E-06	-?-?---	2,5E-10	+?-?---	1,1E-27	+?+?++-	cg02185190	-5,5	2,2E-08	147	7
LGR6	3,4E-05	++-++?+	1,9E-24	--+--?-	2,2E-16	+----?-	cg19404354	6,4	7,9E-11	131	11
POLR1C	8,5E-10	-------	3,7E-24	+++++++	8,5E-16	------+	cg17102807	-6,3	1,5E-10	204	10
PLAG1	5,2E-05	-------	2,2E-22	+++++++	7,9E-04	-+-----	cg03388786	-3,2	7,6E-04	101	0
AXIN2	6,0E-13	-----+-	1,5E-53	+++++++	3,5E-68	-------	cg23475474	-11,6	3,8E-31	45	6
TTC3	3,2E-09	-------	6,2E-25	+++++++	2,5E-16	+--+---	cg01619796	-6,4	6,9E-11	81	5
